日期,收入,支出
20240401,22000,13000
20240402,22000,12850
20240403,21000,12850
20240408,22000,12850
20240409,21000,13950
20240410,21000,14000
20240411,21000,11820
20240412,18000,11820
20240415,20000,11820
20240416,20000,11820
20240417,20000,15230
20240418,19500,15230
20240419,19000,15230
20240422,19870,11840
20240423,19650,16210
20240424,19650,12654
20240425,19870,12654
20240426,19960,12654
20240429,19960,14620
20240430,18520,14620
20240502,18750,14620
20240503,18750,13660
20240506,18750,13950
20240507,18360,13320
20240508,18360,11520
20240509,18210,12910
20240510,18200,12740
20240513,17750,14320
20240514,17750,15230
20240515,17750,15520
20240516,18000,14444
20240517,18000,12654
20240520,16250,16300
20240521,15308,14456
20240522,16000,16241
20240523,16580,13214
20240524,16580,13652
20240527,16000,13652
20240528,16000,13214
